f1,f2,MAC1,MAC2,LABEL
5.6589,12.449,0.9977668970,0.9669652542,2
5.6193,12.353,0.9977866900,0.9681653456,2
5.5734,12.251,0.9978669883,0.9701098165,2
5.5824,12.219,0.9974457652,0.9645077014,2
5.5449,12.129,0.9974711438,0.9652711307,2
5.5516,12.119,0.9973240049,0.9585983709,2
5.5487,12.058,0.9968136171,0.9538797128,2
5.5137,11.959,0.9966412205,0.9545208753,2
5.497,11.901,0.9965016775,0.9511207518,2
5.4699,11.828,0.9964602483,0.9493979457,2
5.4556,11.756,0.9960346168,0.9458630834,2
5.4188,11.663,0.9959689504,0.9462166550,3
5.4344,11.647,0.9954660533,0.9340365555,3
5.3982,11.558,0.9954172016,0.9336850035,3
5.3732,11.457,0.9947592629,0.9331232702,3
5.3521,11.396,0.9946990163,0.9275792368,3
5.2867,11.285,0.9952957569,0.9320674039,3
5.2932,11.208,0.9938086493,0.9256223866,3
5.3038,11.173,0.9929814801,0.9110966584,3
5.2465,11.049,0.9929526273,0.9175298033,3
5.2036,10.951,0.9929618970,0.9174173854,3
5.206,10.902,0.9920761490,0.9036689490,3
5.1727,10.817,0.9919451021,0.8985089903,3
5.1552,10.731,0.9908837524,0.8935592730,3
5.1283,10.65,0.9905239626,0.8848290288,3
5.0753,10.525,0.9899862885,0.8935289343,3
5.0774,10.473,0.9888103145,0.8728887184,3
4.9787,10.306,0.9895768162,0.8955300339,3
4.994,10.258,0.9873540989,0.8758965647,3
4.907,10.107,0.9880345546,0.8912674106,3
4.9167,10.056,0.9858949547,0.8687780509,3
5.8883,13.682,0.9999858242,0.9997837817,4
5.8589,13.573,0.9999797221,0.9999040988,4
5.8812,13.668,0.9999755698,0.9995578622,4
5.8754,13.661,0.9999691653,0.9993679609,4
5.866,13.629,0.9999642653,0.9993261423,4
5.827,13.523,0.9999668158,0.9993737332,4
5.8588,13.567,0.9999378456,0.9993711882,4
5.8572,13.532,0.9999035277,0.9993645280,4
5.8244,13.521,0.9999368633,0.9987367050,4
5.7746,13.404,0.9999371436,0.9986121372,4
5.8051,13.402,0.9998998311,0.9991065618,4
5.7984,13.433,0.9999087783,0.9984075793,4
5.764,13.307,0.9999020565,0.9988387650,4
5.7835,13.379,0.9998822929,0.9981385135,4
5.7722,13.376,0.9998701787,0.9974578545,4
5.728,13.238,0.9998787857,0.9979226227,4
5.7297,13.187,0.9998350762,0.9983007390,4
5.7173,13.164,0.9998313095,0.9979758420,4
5.7163,13.191,0.9998222854,0.9971344543,4
5.6687,13.06,0.9998317592,0.9973763065,4
5.6314,12.932,0.9998247981,0.9978724923,5
5.6787,13.046,0.9997548879,0.9970333177,5
5.6567,12.966,0.9997276954,0.9971630623,5
5.6443,12.933,0.9997115009,0.9968597054,5
5.6281,12.933,0.9997246969,0.9958050471,5
5.6019,12.829,0.9996991173,0.9963229802,5
5.5911,12.786,0.9996651251,0.9961718752,5
5.5828,12.787,0.9996560881,0.9952696322,5
5.5596,12.745,0.9996495844,0.9945438625,5
5.5624,12.715,0.9995910171,0.9946442318,5
5.5079,12.607,0.9996239813,0.9940577466,5
5.5369,12.675,0.9995454953,0.9928669678,5
5.5206,12.621,0.9995162064,0.9926197884,5
5.4554,12.482,0.9995399450,0.9921149357,5
5.4726,12.483,0.9994742269,0.9921585795,5
5.4666,12.418,0.9993988907,0.9926739364,5
5.4423,12.369,0.9993925097,0.9918694629,5
5.3999,12.216,0.9993572703,0.9929431418,5
5.4208,12.263,0.9992591061,0.9915600117,5
5.3085,12.015,0.9994096671,0.9920817670,5
5.3664,12.144,0.9992453402,0.9900355073,6
5.3738,12.119,0.9991177581,0.9898291562,6
5.3466,12.084,0.9991292927,0.9881694006,6
5.3194,11.983,0.9990783409,0.9885706000,6
5.3065,11.915,0.9989815837,0.9885560231,6
5.2974,11.906,0.9989374506,0.9868550018,6
5.2602,11.776,0.9988826539,0.9875472674,6
5.2592,11.808,0.9988327574,0.9846062075,6
5.2382,11.7,0.9987230262,0.9854456605,6
5.1972,11.6,0.9987243127,0.9848827672,6
5.172,11.491,0.9986130053,0.9853560530,6
5.1444,11.447,0.9986147941,0.9834430834,6
5.1347,11.39,0.9984838399,0.9828319763,6
5.0993,11.297,0.9984521179,0.9820852339,6
5.083,11.243,0.9983529740,0.9808405823,6
5.053,11.134,0.9982570664,0.9808561581,6
5.0287,11.058,0.9981694571,0.9798212807,6
5.0013,10.972,0.9980810390,0.9789461147,6
